CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 232,45.0,891.0,2.0,4.0,233.0,7.0,19.0,503.0,11.0,7.0,2.0,2.0,39.0,71.0,6.0,27.0,373.0,11.0,1.0,341.0,517.0,1645.0,1.0,1.0,92.0,152.0,22.0,180.0,39.0,26.0,1.0,386.0,0.0,35.0,352.0,295.0,358.0,141.0,6838
Census Tract 233,4.0,301.0,1.0,1.0,108.0,8.0,11.0,93.0,8.0,13.0,1.0,5.0,13.0,32.0,0.0,12.0,395.0,1.0,0.0,63.0,492.0,603.0,0.0,2.0,30.0,78.0,2.0,76.0,8.0,15.0,0.0,174.0,0.0,16.0,187.0,161.0,102.0,37.0,3053
Census Tract 234,33.0,734.0,4.0,8.0,244.0,8.0,12.0,203.0,8.0,4.0,0.0,5.0,29.0,52.0,1.0,23.0,401.0,5.0,1.0,269.0,325.0,1051.0,0.0,3.0,60.0,218.0,14.0,144.0,40.0,29.0,3.0,275.0,1.0,29.0,502.0,188.0,199.0,126.0,5251
Census Tract 251,1.0,163.0,2.0,0.0,74.0,1.0,18.0,84.0,3.0,0.0,0.0,0.0,8.0,29.0,0.0,10.0,330.0,2.0,4.0,70.0,142.0,284.0,0.0,1.0,20.0,39.0,2.0,16.0,8.0,4.0,2.0,66.0,0.0,13.0,116.0,153.0,65.0,11.0,1741
Census Tract 252,5.0,227.0,0.0,0.0,97.0,8.0,6.0,58.0,10.0,1.0,1.0,0.0,24.0,54.0,0.0,7.0,536.0,4.0,0.0,136.0,206.0,346.0,0.0,5.0,25.0,49.0,8.0,35.0,8.0,12.0,5.0,77.0,0.0,20.0,190.0,247.0,48.0,23.0,2478
Census Tract 253,5.0,535.0,2.0,3.0,126.0,11.0,33.0,149.0,31.0,3.0,1.0,4.0,40.0,80.0,1.0,15.0,798.0,15.0,0.0,205.0,495.0,946.0,0.0,2.0,20.0,152.0,3.0,57.0,34.0,22.0,0.0,185.0,0.0,30.0,230.0,230.0,188.0,51.0,4702
Census Tract 254.01,4.0,241.0,0.0,2.0,76.0,6.0,11.0,42.0,6.0,1.0,0.0,2.0,11.0,31.0,0.0,11.0,227.0,4.0,0.0,88.0,209.0,282.0,0.0,0.0,19.0,69.0,7.0,25.0,12.0,1.0,2.0,89.0,0.0,12.0,148.0,147.0,39.0,28.0,1852
Census Tract 254.02,4.0,145.0,1.0,3.0,39.0,3.0,2.0,46.0,6.0,1.0,1.0,1.0,14.0,14.0,0.0,11.0,184.0,1.0,0.0,50.0,133.0,193.0,0.0,2.0,14.0,32.0,2.0,22.0,9.0,6.0,2.0,52.0,0.0,3.0,96.0,134.0,37.0,14.0,1277
Census Tract 254.03,6.0,331.0,1.0,3.0,89.0,6.0,11.0,111.0,2.0,1.0,1.0,1.0,14.0,27.0,0.0,11.0,241.0,1.0,0.0,66.0,205.0,482.0,0.0,0.0,30.0,89.0,2.0,80.0,19.0,15.0,2.0,116.0,0.0,9.0,171.0,163.0,96.0,51.0,2453
Census Tract 255,11.0,463.0,1.0,5.0,124.0,13.0,32.0,164.0,13.0,6.0,3.0,8.0,44.0,83.0,6.0,20.0,487.0,8.0,1.0,143.0,576.0,1275.0,0.0,0.0,52.0,181.0,8.0,76.0,35.0,36.0,5.0,183.0,0.0,14.0,342.0,439.0,155.0,57.0,5069
Census Tract 256,2.0,202.0,0.0,4.0,68.0,4.0,2.0,66.0,1.0,0.0,0.0,0.0,12.0,36.0,0.0,15.0,180.0,2.0,0.0,52.0,133.0,308.0,0.0,0.0,58.0,72.0,3.0,34.0,11.0,11.0,2.0,72.0,0.0,7.0,111.0,246.0,47.0,25.0,1786
Census Tract 257.01,1.0,182.0,2.0,1.0,37.0,0.0,2.0,71.0,4.0,5.0,0.0,1.0,13.0,32.0,0.0,4.0,200.0,2.0,0.0,57.0,163.0,410.0,0.0,2.0,20.0,137.0,2.0,34.0,11.0,9.0,2.0,64.0,0.0,2.0,149.0,238.0,55.0,20.0,1932
Census Tract 257.02,7.0,370.0,2.0,1.0,88.0,8.0,7.0,77.0,10.0,3.0,4.0,1.0,30.0,47.0,0.0,9.0,382.0,5.0,1.0,113.0,240.0,730.0,0.0,6.0,20.0,210.0,10.0,52.0,16.0,26.0,4.0,159.0,0.0,7.0,223.0,208.0,95.0,44.0,3215
Census Tract 258,1.0,138.0,1.0,2.0,43.0,2.0,4.0,44.0,2.0,1.0,0.0,0.0,29.0,11.0,0.0,4.0,126.0,1.0,0.0,61.0,113.0,175.0,0.0,0.0,16.0,61.0,3.0,31.0,5.0,6.0,0.0,55.0,0.0,0.0,83.0,79.0,33.0,26.0,1156
Census Tract 259,10.0,150.0,0.0,1.0,78.0,10.0,3.0,44.0,1.0,0.0,0.0,3.0,9.0,16.0,0.0,6.0,176.0,0.0,0.0,94.0,129.0,186.0,0.0,0.0,30.0,34.0,4.0,27.0,8.0,10.0,1.0,84.0,0.0,5.0,117.0,165.0,34.0,24.0,1459
Census Tract 260.01,3.0,382.0,2.0,4.0,74.0,7.0,8.0,112.0,11.0,3.0,3.0,3.0,29.0,39.0,1.0,12.0,233.0,2.0,0.0,294.0,244.0,623.0,0.0,1.0,15.0,121.0,15.0,61.0,34.0,16.0,2.0,121.0,0.0,9.0,151.0,246.0,100.0,34.0,3015
Census Tract 260.02,2.0,103.0,1.0,1.0,46.0,0.0,4.0,42.0,2.0,0.0,0.0,0.0,11.0,12.0,0.0,5.0,121.0,2.0,0.0,54.0,91.0,159.0,0.0,0.0,26.0,32.0,1.0,22.0,9.0,10.0,0.0,40.0,0.0,5.0,63.0,182.0,26.0,9.0,1081
