GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031710700,7.0,217.0,716.0,303.0,14.0,368.0,0.0,73.0,87.0,12.0,4.0,15.0,1.0,2.0,3.0,173.0,569.0,0.0,0.0,0.0,15.0,0.0,267.0,10.0,0.0,30.0,223.0,9.0,1.0,539.0,58.0,3716
17031710800,8.0,447.0,1222.0,354.0,23.0,589.0,0.0,229.0,162.0,9.0,8.0,22.0,3.0,6.0,7.0,240.0,906.0,0.0,0.0,0.0,80.0,0.0,415.0,45.0,0.0,78.0,321.0,26.0,3.0,908.0,98.0,6209
17031710900,6.0,200.0,683.0,229.0,18.0,327.0,0.0,118.0,139.0,8.0,6.0,14.0,1.0,3.0,3.0,156.0,649.0,0.0,0.0,0.0,28.0,0.0,170.0,53.0,0.0,29.0,177.0,15.0,1.0,633.0,63.0,3729
17031711000,4.0,273.0,747.0,339.0,12.0,461.0,0.0,75.0,113.0,8.0,4.0,18.0,1.0,2.0,3.0,210.0,448.0,0.0,0.0,0.0,25.0,0.0,218.0,4.0,0.0,26.0,153.0,6.0,2.0,461.0,69.0,3682
17031711100,2.0,154.0,563.0,246.0,16.0,291.0,0.0,119.0,95.0,4.0,6.0,5.0,1.0,1.0,3.0,156.0,419.0,0.0,0.0,0.0,19.0,0.0,193.0,10.0,0.0,26.0,228.0,7.0,1.0,538.0,39.0,3142
17031711200,0.0,206.0,540.0,378.0,6.0,441.0,0.0,85.0,110.0,3.0,7.0,9.0,0.0,4.0,2.0,181.0,334.0,0.0,0.0,0.0,27.0,0.0,249.0,6.0,0.0,19.0,154.0,7.0,1.0,554.0,49.0,3372
17031711300,1.0,89.0,267.0,153.0,4.0,154.0,0.0,24.0,55.0,3.0,5.0,2.0,1.0,1.0,3.0,85.0,84.0,0.0,0.0,1.0,13.0,0.0,93.0,7.0,0.0,2.0,67.0,2.0,2.0,261.0,15.0,1394
17031711400,4.0,178.0,572.0,209.0,9.0,302.0,0.0,84.0,114.0,9.0,4.0,13.0,4.0,4.0,3.0,149.0,558.0,0.0,0.0,0.0,26.0,0.0,128.0,4.0,0.0,11.0,208.0,4.0,0.0,457.0,62.0,3116
17031711500,11.0,150.0,485.0,238.0,10.0,302.0,1.0,39.0,71.0,7.0,4.0,6.0,1.0,4.0,0.0,118.0,219.0,0.0,0.0,0.0,24.0,0.0,175.0,2.0,0.0,7.0,103.0,3.0,2.0,381.0,25.0,2388
17031720100,0.0,76.0,103.0,164.0,2.0,188.0,0.0,110.0,113.0,0.0,1.0,1.0,0.0,3.0,0.0,42.0,29.0,0.0,0.0,0.0,16.0,0.0,59.0,0.0,0.0,6.0,53.0,3.0,1.0,563.0,7.0,1540
