City,Metro,Date,All Beds,1 Beds,2 Beds
San Jose,Bay Area,10/1/2016,"2,862","2,504","3,075"
San Jose,Bay Area,11/1/2016,"2,822","2,473","3,042"
San Jose,Bay Area,12/1/2016,"2,851","2,471","3,079"
San Jose,Bay Area,1/1/2017,"2,954","2,487","3,193"
San Jose,Bay Area,2/1/2017,"2,936","2,473","3,178"
San Jose,Bay Area,3/1/2017,"2,830","2,432","3,077"
San Jose,Bay Area,4/1/2017,"2,830","2,442","3,103"
San Jose,Bay Area,5/1/2017,"2,842","2,477","3,115"
San Jose,Bay Area,6/1/2017,"2,853","2,509","3,132"
San Jose,Bay Area,7/1/2017,"2,868","2,514","3,123"
San Jose,Bay Area,8/1/2017,"2,830","2,495","3,060"
San Jose,Bay Area,9/1/2017,"2,818","2,495","3,032"
San Jose,Bay Area,10/1/2017,"2,786","2,475","3,005"
San Jose,Bay Area,11/1/2017,"2,726","2,430","2,976"
San Jose,Bay Area,12/1/2017,"2,695","2,405","2,952"
San Jose,Bay Area,1/1/2018,"2,736","2,432","2,999"
San Jose,Bay Area,2/1/2018,"2,804","2,479","3,085"
San Jose,Bay Area,3/1/2018,"2,801","2,466","3,093"
San Jose,Bay Area,4/1/2018,"2,836","2,493","3,161"
San Jose,Bay Area,5/1/2018,"3,005","2,623","3,278"
San Jose,Bay Area,6/1/2018,"3,050","2,666","3,325"
San Jose,Bay Area,7/1/2018,"3,057","2,685","3,320"
San Jose,Bay Area,8/1/2018,"2,984","2,635","3,222"
San Jose,Bay Area,9/1/2018,"2,962","2,613","3,190"
San Jose,Bay Area,10/1/2018,"2,963","2,611","3,180"
San Jose,Bay Area,11/1/2018,"2,931","2,584","3,154"
San Jose,Bay Area,12/1/2018,"2,941","2,579","3,168"
San Jose,Bay Area,1/1/2019,"3,005","2,616","3,232"
San Jose,Bay Area,2/1/2019,"3,029","2,639","3,263"
San Jose,Bay Area,3/1/2019,"3,065","2,672","3,297"
San Jose,Bay Area,4/1/2019,"3,064","2,693","3,301"
San Jose,Bay Area,10/1/2019,"3,054","2,707","3,314"
San Jose,Bay Area,11/1/2019,"3,037","2,692","3,289"
San Jose,Bay Area,12/1/2019,"3,028","2,667","3,260"
San Jose,Bay Area,1/1/2020,"2,981","2,635","3,189"
San Jose,Bay Area,3/1/2020,"3,044","2,687","3,271"
San Jose,Bay Area,4/1/2020,"2,985","2,632","3,206"
San Jose,Bay Area,5/1/2020,"2,985","2,619","3,241"
Seattle,Seattle,1/1/2011,"1,207",925,"1,453"
Seattle,Seattle,2/1/2011,"1,221",913,"1,545"
Seattle,Seattle,3/1/2011,"1,214",936,"1,505"
Seattle,Seattle,4/1/2011,"1,229",968,"1,501"
Seattle,Seattle,5/1/2011,"1,260",997,"1,478"
Seattle,Seattle,6/1/2011,"1,315",975,"1,478"
Seattle,Seattle,7/1/2011,"1,292",981,"1,450"
Seattle,Seattle,8/1/2011,"1,315","1,086","1,558"
Seattle,Seattle,9/1/2011,"1,368","1,238","1,614"
Seattle,Seattle,10/1/2011,"1,377","1,245","1,639"
Seattle,Seattle,11/1/2011,"1,373","1,256","1,649"
Seattle,Seattle,12/1/2011,"1,356","1,238","1,642"
Seattle,Seattle,1/1/2012,"1,341","1,226","1,576"
Seattle,Seattle,2/1/2012,"1,343","1,249","1,614"
Seattle,Seattle,3/1/2012,"1,360","1,271","1,639"
Seattle,Seattle,4/1/2012,"1,412","1,334","1,715"
Seattle,Seattle,5/1/2012,"1,392","1,285","1,736"
Seattle,Seattle,6/1/2012,"1,435","1,291","1,774"
Seattle,Seattle,7/1/2012,"1,520","1,375","1,826"
Seattle,Seattle,8/1/2012,"1,515","1,392","1,714"
Seattle,Seattle,9/1/2012,"1,585","1,417","1,803"
Seattle,Seattle,10/1/2012,"1,537","1,426","1,836"
Seattle,Seattle,11/1/2012,"1,541","1,424","1,868"
Seattle,Seattle,12/1/2012,"1,495","1,389","1,894"
Seattle,Seattle,1/1/2013,"1,503","1,420","1,965"
Seattle,Seattle,2/1/2013,"1,548","1,490","1,983"
Seattle,Seattle,3/1/2013,"1,698","1,504","2,162"
Seattle,Seattle,4/1/2013,"1,788","1,555","2,337"
Seattle,Seattle,5/1/2013,"1,664","1,519","2,125"
Seattle,Seattle,6/1/2013,"1,752","1,569","2,248"
Seattle,Seattle,7/1/2013,"1,726","1,542","2,208"
Seattle,Seattle,8/1/2013,"1,732","1,558","2,226"
Seattle,Seattle,9/1/2013,"1,740","1,570","2,215"
Seattle,Seattle,10/1/2013,"1,749","1,598","2,279"
Seattle,Seattle,11/1/2013,"1,693","1,545","2,153"
Seattle,Seattle,12/1/2013,"1,670","1,512","2,083"
Seattle,Seattle,1/1/2014,"1,657","1,498","2,008"
Seattle,Seattle,2/1/2014,"1,702","1,524","2,097"
Seattle,Seattle,3/1/2014,"1,760","1,558","2,136"
Seattle,Seattle,4/1/2014,"1,764","1,607","2,227"
Seattle,Seattle,5/1/2014,"1,823","1,637","2,298"
Seattle,Seattle,6/1/2014,"1,843","1,665","2,316"
Seattle,Seattle,7/1/2014,"1,861","1,644","2,343"
Seattle,Seattle,8/1/2014,"1,826","1,600","2,298"
Seattle,Seattle,9/1/2014,"1,839","1,622","2,315"
Seattle,Seattle,10/1/2014,"1,830","1,613","2,283"
Seattle,Seattle,11/1/2014,"1,809","1,608","2,287"
Seattle,Seattle,12/1/2014,"1,811","1,605","2,289"
Seattle,Seattle,1/1/2015,"1,821","1,640","2,349"
Seattle,Seattle,2/1/2015,"1,819","1,663","2,346"
Seattle,Seattle,3/1/2015,"1,857","1,721","2,367"
Seattle,Seattle,4/1/2015,"1,865","1,728","2,380"
Seattle,Seattle,5/1/2015,"1,887","1,734","2,406"
Seattle,Seattle,6/1/2015,"1,921","1,756","2,427"
Seattle,Seattle,7/1/2015,"1,963","1,785","2,460"
Seattle,Seattle,8/1/2015,"1,992","1,815","2,483"
Seattle,Seattle,9/1/2015,"1,990","1,829","2,486"
Seattle,Seattle,10/1/2015,"2,013","1,846","2,541"
Seattle,Seattle,11/1/2015,"2,000","1,830","2,544"
Seattle,Seattle,12/1/2015,"1,987","1,822","2,535"
Seattle,Seattle,1/1/2016,"2,007","1,840","2,557"
Seattle,Seattle,2/1/2016,"2,013","1,852","2,549"
Seattle,Seattle,3/1/2016,"2,062","1,897","2,653"
Seattle,Seattle,4/1/2016,"2,096","1,925","2,665"
Seattle,Seattle,5/1/2016,"2,146","1,969","2,739"
Seattle,Seattle,6/1/2016,"2,191","2,005","2,802"
Seattle,Seattle,7/1/2016,"2,179","1,999","2,796"
