"GEOID","Region","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"12103027701","Tampa Bay",2016,502,3,3,0.11,0.21
"12103027703","Tampa Bay",2016,213,6,2,0.53,0.33
"12103027704","Tampa Bay",2016,468,15,7,0.6,0.53
"12103027801","Tampa Bay",2016,428,20,11,0.87,0.91
"12103027802","Tampa Bay",2016,667,28,13,0.78,0.69
"12103027901","Tampa Bay",2016,736,11,5,0.28,0.24
"12103027903","Tampa Bay",2016,214,4,3,0.35,0.5
"12103027904","Tampa Bay",2016,611,23,10,0.7,0.58
"12103028002","Tampa Bay",2016,646,8,4,0.23,0.22
"12103028003","Tampa Bay",2016,768,26,9,0.63,0.42
"12103028004","Tampa Bay",2016,490,9,3,0.34,0.22
"12103028102","Tampa Bay",2016,580,9,6,0.29,0.37
"12103028103","Tampa Bay",2016,606,5,2,0.15,0.12
"12103028104","Tampa Bay",2016,922,15,10,0.3,0.38
"12103028200","Tampa Bay",2016,328,9,6,0.51,0.65
"12103028300","Tampa Bay",2016,666,27,13,0.76,0.69
"12103028401","Tampa Bay",2016,262,1,1,0.07,0.14
"12103028402","Tampa Bay",2016,495,7,5,0.26,0.36
"12103028500","Tampa Bay",2016,596,19,10,0.59,0.59
"12103028600","Tampa Bay",2016,1351,66,33,0.91,0.87
"12103028700","Tampa Bay",2016,714,88,42,2.3,2.09
"12103990000","Tampa Bay",2016,0,0,0,NA,NA
"12103990100","Tampa Bay",2016,0,0,0,NA,NA
"13057090100","Atlanta",2016,588,59,19,0.47,0.57
"13057090200","Atlanta",2016,507,28,10,0.26,0.35
"13057090300","Atlanta",2016,605,38,11,0.29,0.32
"13057090400","Atlanta",2016,2378,204,50,0.4,0.37
"13057090501","Atlanta",2016,339,11,4,0.15,0.21
"13057090502","Atlanta",2016,534,41,6,0.36,0.2
"13057090601","Atlanta",2016,1041,77,25,0.34,0.43
"13057090602","Atlanta",2016,873,124,26,0.66,0.53
"13057090701","Atlanta",2016,1690,303,59,0.83,0.62
"13057090702","Atlanta",2016,842,96,22,0.53,0.46
"13057090802","Atlanta",2016,308,16,6,0.24,0.35
"13057090803","Atlanta",2016,368,36,12,0.45,0.58
"13057090804","Atlanta",2016,371,32,6,0.4,0.29
"13057090901","Atlanta",2016,345,29,9,0.39,0.46
"13057090902","Atlanta",2016,832,31,8,0.17,0.17
"13057090904","Atlanta",2016,1210,110,31,0.42,0.45
"13057090905","Atlanta",2016,765,43,12,0.26,0.28
"13057091001","Atlanta",2016,892,97,21,0.51,0.42
"13057091003","Atlanta",2016,1599,273,64,0.79,0.71
"13057091005","Atlanta",2016,1093,179,34,0.76,0.55
"13057091006","Atlanta",2016,220,12,2,0.25,0.16
"13057091007","Atlanta",2016,194,27,7,0.65,0.64
"13057091008","Atlanta",2016,643,95,11,0.69,0.3
"13057091101","Atlanta",2016,297,36,11,0.56,0.66
"13057091102","Atlanta",2016,693,288,42,1.93,1.08
"13057091103","Atlanta",2016,524,59,15,0.52,0.51
