CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 4.01,4.0,423.0,12.0,0.0,347.0,8.0,1.0,248.0,19.0,27.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,650.0,3.0,172.0,0.0,0.0,6.0,29.0,0.0,0.0,5.0,25.0,8.0,2085
Census Tract 4.02,4.0,170.0,19.0,0.0,236.0,5.0,0.0,168.0,26.0,20.0,1.0,1.0,0.0,76.0,0.0,0.0,0.0,467.0,1.0,110.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,17.0,15.0,1368
Census Tract 40,0.0,82.0,6.0,0.0,131.0,3.0,0.0,87.0,11.0,9.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,302.0,7.0,34.0,0.0,0.0,1.0,13.0,0.0,0.0,2.0,4.0,3.0,736
Census Tract 41,0.0,45.0,13.0,0.0,187.0,5.0,0.0,91.0,6.0,1.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,501.0,0.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1007
Census Tract 42,1.0,176.0,16.0,0.0,305.0,10.0,0.0,170.0,17.0,2.0,1.0,1.0,0.0,113.0,0.0,0.0,0.0,602.0,3.0,126.0,0.0,1.0,0.0,15.0,0.0,0.0,2.0,9.0,1.0,1571
Census Tract 43.01,1.0,104.0,21.0,0.0,133.0,19.0,0.0,127.0,7.0,10.0,5.0,1.0,0.0,107.0,0.0,0.0,0.0,781.0,6.0,88.0,0.0,0.0,0.0,28.0,0.0,0.0,3.0,11.0,5.0,1457
Census Tract 43.02,2.0,77.0,5.0,0.0,197.0,1.0,0.0,128.0,11.0,3.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,299.0,5.0,116.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,2.0,2.0,912
Census Tract 44,13.0,414.0,21.0,0.0,412.0,20.0,1.0,501.0,60.0,79.0,4.0,1.0,0.0,129.0,1.0,0.0,0.0,1410.0,18.0,310.0,0.0,0.0,2.0,103.0,0.0,0.0,12.0,55.0,26.0,3592
Census Tract 45,0.0,87.0,4.0,0.0,106.0,5.0,0.0,99.0,13.0,10.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,332.0,5.0,81.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,15.0,2.0,806
Census Tract 46,2.0,92.0,11.0,0.0,136.0,3.0,0.0,130.0,34.0,18.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,782.0,7.0,106.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,15.0,6.0,1433
Census Tract 47,3.0,727.0,102.0,0.0,424.0,46.0,0.0,541.0,332.0,59.0,22.0,1.0,0.0,225.0,0.0,0.0,0.0,2241.0,23.0,296.0,0.0,1.0,0.0,76.0,0.0,0.0,13.0,117.0,31.0,5280
Census Tract 48,1.0,174.0,12.0,0.0,194.0,1.0,1.0,201.0,59.0,5.0,5.0,0.0,0.0,81.0,0.0,0.0,0.0,615.0,9.0,140.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,13.0,6.0,1530
Census Tract 49,2.0,489.0,26.0,0.0,394.0,8.0,0.0,350.0,233.0,107.0,10.0,2.0,0.0,165.0,0.0,0.0,0.0,1431.0,8.0,324.0,0.0,0.0,18.0,44.0,0.0,0.0,11.0,70.0,34.0,3726
Census Tract 5,0.0,23.0,10.0,0.0,156.0,0.0,0.0,40.0,2.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,280.0,2.0,34.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,2.0,598
Census Tract 50,3.0,176.0,12.0,0.0,157.0,9.0,0.0,157.0,42.0,42.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,518.0,3.0,121.0,0.0,0.0,0.0,15.0,0.0,0.0,9.0,30.0,8.0,1368
Census Tract 51,4.0,107.0,16.0,1.0,189.0,11.0,0.0,137.0,23.0,27.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,646.0,2.0,113.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,16.0,5.0,1409
Census Tract 52,15.0,324.0,28.0,0.0,396.0,24.0,1.0,307.0,41.0,46.0,3.0,0.0,0.0,115.0,0.0,0.0,0.0,924.0,10.0,243.0,0.0,0.0,1.0,35.0,0.0,0.0,10.0,32.0,16.0,2571
Census Tract 53.01,24.0,712.0,34.0,1.0,393.0,23.0,6.0,623.0,43.0,262.0,13.0,3.0,0.0,189.0,0.0,0.0,0.0,2328.0,35.0,188.0,0.0,1.0,0.0,178.0,0.0,0.0,16.0,113.0,60.0,5245
Census Tract 53.02,0.0,37.0,7.0,0.0,21.0,1.0,0.0,23.0,11.0,5.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,241.0,1.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,7.0,3.0,415
