"GEOID","REGION","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08031000600","Denver",2016,1103,33,15,0.45,0.44
"08031003203","Denver",2016,286,3,2,0.16,0.23
"08031006812","Denver",2016,417,34,17,1.22,1.33
"08031005200","Denver",2016,248,3,2,0.18,0.26
"08031001101","Denver",2016,514,20,9,0.58,0.57
"08031000502","Denver",2016,1576,17,9,0.16,0.19
"08031005104","Denver",2016,1299,61,40,0.7,1.01
"08031000202","Denver",2016,674,27,9,0.6,0.44
"08031004801","Denver",2016,146,6,4,0.61,0.89
"08031015300","Denver",2016,2098,64,35,0.46,0.54
"08031012010","Denver",2016,1010,26,16,0.38,0.52
"08047013800","Denver",2016,663,23,12,0.52,0.59
"12009069700","Orlando",2016,406,32,12,1.47,1.12
"12009066200","Orlando",2016,341,5,2,0.27,0.22
"12009064500","Orlando",2016,772,36,21,0.87,1.03
"12009064602","Orlando",2016,382,55,30,2.68,2.97
"12009064901","Orlando",2016,1169,28,13,0.45,0.42
"12009069902","Orlando",2016,888,56,28,1.18,1.19
"12009071334","Orlando",2016,656,22,9,0.62,0.52
"12009071340","Orlando",2016,1024,35,16,0.64,0.59
"12009062103","Orlando",2016,451,12,7,0.5,0.59
"12009065022","Orlando",2016,332,12,5,0.67,0.57
"12009061002","Orlando",2016,428,25,13,1.09,1.15
"12009065121","Orlando",2016,1201,35,17,0.54,0.54
"12009064800","Orlando",2016,1009,35,14,0.65,0.53
"12009069200","Orlando",2016,444,8,2,0.34,0.17
"12009071338","Orlando",2016,606,25,13,0.77,0.81
"12009980000","Orlando",2016,0,0,0,NA,NA
"12009068200","Orlando",2016,546,7,2,0.24,0.14
"12009064400","Orlando",2016,375,18,9,0.89,0.91
"12009990000","Orlando",2016,0,0,0,NA,NA
"12009066103","Orlando",2016,201,1,1,0.09,0.19
"12009071339","Orlando",2016,564,13,6,0.43,0.4
"12009065202","Orlando",2016,508,22,11,0.81,0.82
"12009068400","Orlando",2016,388,3,2,0.14,0.2
"12009064202","Orlando",2016,908,52,32,1.07,1.33
"12009065201","Orlando",2016,1074,55,24,0.95,0.85
"12009063104","Orlando",2016,242,7,3,0.54,0.47
"12009062104","Orlando",2016,357,2,0,0.1,0
"12009063102","Orlando",2016,982,28,11,0.53,0.42
"12009062900","Orlando",2016,704,27,12,0.71,0.65
"12009064302","Orlando",2016,1135,50,23,0.82,0.77
"12009064126","Orlando",2016,621,44,20,1.32,1.22
"12009060500","Orlando",2016,429,12,6,0.52,0.53
"12009065235","Orlando",2016,385,7,3,0.34,0.29
"12009064902","Orlando",2016,1236,61,29,0.92,0.89
"12009060400","Orlando",2016,663,47,23,1.32,1.31
"12009061201","Orlando",2016,833,35,21,0.78,0.95
"12009068602","Orlando",2016,1039,73,33,1.31,1.2
"12009069100","Orlando",2016,258,3,1,0.22,0.15
"12009066700","Orlando",2016,575,7,5,0.23,0.33
"12009069901","Orlando",2016,632,31,12,0.91,0.72
"12009060600","Orlando",2016,880,55,31,1.16,1.33
"12009062302","Orlando",2016,878,53,34,1.12,1.47
"12009060300","Orlando",2016,395,12,6,0.57,0.57
"12009069300","Orlando",2016,316,5,1,0.29,0.12
"12009071400","Orlando",2016,966,43,20,0.83,0.78
"12009063000","Orlando",2016,554,15,4,0.5,0.27
"12009062500","Orlando",2016,550,53,25,1.8,1.72
"12009071335","Orlando",2016,212,3,1,0.26,0.18
"12009062400","Orlando",2016,1233,147,77,2.22,2.36
"12009062109","Orlando",2016,253,8,4,0.59,0.6
"12009062108","Orlando",2016,384,10,6,0.49,0.59
"12009066800","Orlando",2016,397,1,0,0.05,0
"12009065001","Orlando",2016,147,2,1,0.25,0.26
"12009065021","Orlando",2016,1589,58,26,0.68,0.62
"12009063106","Orlando",2016,350,9,6,0.48,0.65
"12009064601","Orlando",2016,1080,11,7,0.19,0.25
"12009066302","Orlando",2016,421,6,2,0.27,0.18
"12009066104","Orlando",2016,373,3,1,0.15,0.1
"12009064123","Orlando",2016,1701,40,22,0.44,0.49
"12009064102","Orlando",2016,521,5,4,0.18,0.29
"12009063105","Orlando",2016,955,18,8,0.35,0.32
"12009066900","Orlando",2016,718,14,6,0.36,0.32
"12009066101","Orlando",2016,327,2,1,0.11,0.12
"12009068601","Orlando",2016,613,13,5,0.4,0.31
"12009065124","Orlando",2016,588,33,15,1.05,0.97
"12009065125","Orlando",2016,1664,30,13,0.34,0.3
"12009061001","Orlando",2016,712,15,8,0.39,0.43
"12009071332","Orlando",2016,1415,79,29,1.04,0.78
"12009062106","Orlando",2016,394,31,19,1.47,1.82
"12009063107","Orlando",2016,885,20,10,0.42,0.43
"12009066301","Orlando",2016,1065,12,5,0.21,0.18
"12009064127","Orlando",2016,395,10,7,0.47,0.67
"12009980100","Orlando",2016,0,0,0,NA,NA
"12009062800","Orlando",2016,493,16,8,0.6,0.61
"12009062301","Orlando",2016,872,78,44,1.67,1.91
"12009065122","Orlando",2016,2120,93,39,0.82,0.7
"12009071500","Orlando",2016,586,30,14,0.95,0.9
"12009071301","Orlando",2016,163,3,3,0.34,0.7
"12009068501","Orlando",2016,739,13,5,0.33,0.26
"12009071336","Orlando",2016,566,31,13,1.02,0.87
"12009065231","Orlando",2016,375,33,14,1.64,1.41
"12009067100","Orlando",2016,371,0,0,0,0
"12009068102","Orlando",2016,375,2,0,0.1,0
"12009064125","Orlando",2016,406,73,46,3.35,4.29
"12009060700","Orlando",2016,1310,178,91,2.53,2.63
"12009061100","Orlando",2016,576,7,3,0.23,0.2
"12009066400","Orlando",2016,752,19,7,0.47,0.35
"12009060200","Orlando",2016,305,16,9,0.98,1.12
"12009064124","Orlando",2016,551,49,27,1.66,1.85
"12009060102","Orlando",2016,202,7,5,0.65,0.94
"12009066600","Orlando",2016,358,3,2,0.16,0.21
"12009069400","Orlando",2016,251,3,2,0.22,0.3
"12009068300","Orlando",2016,502,3,1,0.11,0.08
"12009069802","Orlando",2016,880,31,16,0.66,0.69
"12009062107","Orlando",2016,373,27,15,1.35,1.52
"12009065234","Orlando",2016,305,7,4,0.43,0.5
"12009062600","Orlando",2016,813,85,38,1.95,1.77
"12009060101","Orlando",2016,329,12,5,0.68,0.58
"12009069801","Orlando",2016,202,3,3,0.28,0.56
"12009064128","Orlando",2016,925,18,5,0.36,0.2
"12009068502","Orlando",2016,1073,38,18,0.66,0.63
"12009071322","Orlando",2016,1083,44,23,0.76,0.8
"12009071100","Orlando",2016,156,5,2,0.6,0.49
"12009065236","Orlando",2016,72,2,2,NA,NA
"12009071600","Orlando",2016,760,27,15,0.66,0.75
"12009068101","Orlando",2016,609,20,6,0.61,0.37
"12009071337","Orlando",2016,605,21,11,0.65,0.69
"12009071200","Orlando",2016,1382,16,10,0.22,0.27
"12009061202","Orlando",2016,589,6,2,0.19,0.13
"12009066500","Orlando",2016,532,7,3,0.25,0.21
"12009065123","Orlando",2016,579,36,19,1.16,1.24
"12009064201","Orlando",2016,384,26,13,1.26,1.28
"12009064301","Orlando",2016,1279,55,25,0.8,0.74
"12009064700","Orlando",2016,1096,48,18,0.82,0.62
"12069030203","Orlando",2016,516,16,6,0.58,0.44
"12069030504","Orlando",2016,1247,106,49,1.58,1.49
"12069030409","Orlando",2016,272,4,2,0.27,0.28
"12069030407","Orlando",2016,721,42,14,1.09,0.73
"12069031308","Orlando",2016,225,10,2,0.83,0.34
"12069031309","Orlando",2016,1081,36,14,0.62,0.49
"12069031102","Orlando",2016,294,6,2,0.38,0.26
"12069030108","Orlando",2016,244,7,4,0.53,0.62
"12069030208","Orlando",2016,367,13,7,0.66,0.72
"12069030308","Orlando",2016,292,35,16,2.23,2.07
"12069031305","Orlando",2016,1633,43,15,0.49,0.35
"12069031306","Orlando",2016,401,19,8,0.88,0.75
"12069030914","Orlando",2016,1181,28,9,0.44,0.29
"12069030204","Orlando",2016,596,33,13,1.03,0.83
"12069030803","Orlando",2016,470,22,10,0.87,0.81
"12069030804","Orlando",2016,346,14,6,0.75,0.66
"12069030502","Orlando",2016,979,143,56,2.72,2.16
"12069031203","Orlando",2016,300,7,1,0.43,0.13
"12069030503","Orlando",2016,359,41,14,2.13,1.48
"12069030701","Orlando",2016,604,7,2,0.22,0.13
"12069030305","Orlando",2016,95,4,1,NA,NA
"12069031204","Orlando",2016,1071,42,15,0.73,0.53
"12069030408","Orlando",2016,565,30,8,0.99,0.54
"12069030912","Orlando",2016,1213,100,39,1.54,1.22
"12069030105","Orlando",2016,849,39,18,0.86,0.8
"12069030806","Orlando",2016,262,14,4,1,0.58
"12069030411","Orlando",2016,702,77,30,2.04,1.62
"12069031301","Orlando",2016,379,7,2,0.34,0.2
"12069031307","Orlando",2016,2492,92,32,0.69,0.49
"12069030410","Orlando",2016,194,11,4,1.06,0.78
"12069030807","Orlando",2016,728,12,5,0.31,0.26
"12069030913","Orlando",2016,361,0,0,0,0
"12069030102","Orlando",2016,350,7,2,0.37,0.22
"12069030104","Orlando",2016,358,3,2,0.16,0.21
"12069030106","Orlando",2016,141,14,4,1.85,1.07
"12069030406","Orlando",2016,286,25,13,1.63,1.72
"12069030805","Orlando",2016,402,23,12,1.07,1.13
"12069030307","Orlando",2016,272,17,5,1.16,0.7
"12069030302","Orlando",2016,447,24,7,1,0.59
"12069030405","Orlando",2016,680,40,10,1.1,0.56
"12069030306","Orlando",2016,279,50,24,3.34,3.26
"12069030702","Orlando",2016,782,146,67,3.48,3.24
"12069031205","Orlando",2016,406,20,10,0.92,0.93
"12069030902","Orlando",2016,1105,47,15,0.79,0.51
"12069031310","Orlando",2016,845,39,16,0.86,0.72
"12069030602","Orlando",2016,693,74,22,1.99,1.2
"12069030207","Orlando",2016,481,25,11,0.97,0.87
"12069030601","Orlando",2016,656,40,15,1.14,0.87
"12069030107","Orlando",2016,451,44,17,1.82,1.43
"12069030209","Orlando",2016,850,35,9,0.77,0.4
"12069031000","Orlando",2016,567,24,12,0.79,0.8
"12069031311","Orlando",2016,3029,158,66,0.97,0.82
"12069031101","Orlando",2016,394,27,14,1.28,1.34
"12069031202","Orlando",2016,560,33,15,1.1,1.01
"12069031103","Orlando",2016,128,4,1,0.58,0.3
"12069030206","Orlando",2016,830,37,17,0.83,0.78
"12095016704","Orlando",2016,2705,217,92,1.49,1.29
"12095014605","Orlando",2016,504,57,30,2.11,2.25
"12095016508","Orlando",2016,1425,147,76,1.92,2.02
"12095012305","Orlando",2016,995,126,61,2.36,2.32
"12095016714","Orlando",2016,361,34,8,1.76,0.84
"12095012202","Orlando",2016,642,85,41,2.47,2.42
"12095013403","Orlando",2016,705,65,32,1.72,1.72
"12095016411","Orlando",2016,807,58,29,1.34,1.36
"12095016301","Orlando",2016,1859,59,29,0.59,0.59
"12095017006","Orlando",2016,909,36,14,0.74,0.58
"12095017300","Orlando",2016,2309,68,38,0.55,0.62
"12095015201","Orlando",2016,2579,83,40,0.6,0.59
"12095016100","Orlando",2016,835,4,1,0.09,0.05
"12095015801","Orlando",2016,100,0,0,0,0
"12095014100","Orlando",2016,561,20,14,0.66,0.94
"12095016803","Orlando",2016,240,11,4,0.85,0.63
"12095014806","Orlando",2016,301,15,4,0.93,0.5
"12095015602","Orlando",2016,66,2,1,NA,NA
"12095017804","Orlando",2016,562,76,40,2.52,2.69
"12095017400","Orlando",2016,1074,39,14,0.68,0.49
"12095014906","Orlando",2016,410,25,12,1.14,1.11
"12095016724","Orlando",2016,1436,41,19,0.53,0.5
"12095013606","Orlando",2016,771,38,20,0.92,0.98
"12095014908","Orlando",2016,481,61,29,2.36,2.28
"12095017004","Orlando",2016,1208,48,33,0.74,1.03
"12095017012","Orlando",2016,143,1,1,0.13,0.26
"12095012500","Orlando",2016,473,9,5,0.35,0.4
"12095011000","Orlando",2016,1152,48,32,0.78,1.05
"12095013511","Orlando",2016,551,93,38,3.15,2.61
"12095017703","Orlando",2016,707,28,18,0.74,0.96
"12095015001","Orlando",2016,296,5,2,0.31,0.26
"12095017702","Orlando",2016,118,5,2,0.79,0.64
"12095013900","Orlando",2016,839,70,44,1.55,1.98
"12095011300","Orlando",2016,977,26,12,0.5,0.46
